common_name|scientific_name|period|timeframe_mya|diet|length_m|mass_kg|top_speed_kph|region|first_described|wiki_title|sound_hz|danger_level|fact
Tyrannosaurus|Tyrannosaurus rex|Late Cretaceous|67|Carnivore|12.3|8400|27|North America|1905|Tyrannosaurus|92|10|Among the strongest known terrestrial bite forces.
Triceratops|Triceratops horridus|Late Cretaceous|68|Herbivore|8.0|8000|32|North America|1889|Triceratops|140|6|Its three horns likely helped with defense and display.
Stegosaurus|Stegosaurus stenops|Late Jurassic|150|Herbivore|9.0|5000|7|North America|1877|Stegosaurus|120|4|Its tail spikes are often called a thagomizer.
Brachiosaurus|Brachiosaurus altithorax|Late Jurassic|154|Herbivore|22.0|56000|16|North America|1903|Brachiosaurus|80|5|Its forelimbs were longer than its hind limbs.
Diplodocus|Diplodocus carnegii|Late Jurassic|154|Herbivore|26.0|15000|24|North America|1878|Diplodocus|75|4|It had a very long neck and whip-like tail.
Velociraptor|Velociraptor mongoliensis|Late Cretaceous|75|Carnivore|2.0|20|40|Mongolia|1924|Velociraptor|320|7|Likely feathered and built for agility.
Spinosaurus|Spinosaurus aegyptiacus|Late Cretaceous|99|Carnivore|14.0|7400|24|North Africa|1915|Spinosaurus|95|9|Evidence suggests semi-aquatic hunting behavior.
Ankylosaurus|Ankylosaurus magniventris|Late Cretaceous|68|Herbivore|6.0|6000|10|North America|1908|Ankylosaurus|110|5|Its armored body ended in a heavy tail club.
Allosaurus|Allosaurus fragilis|Late Jurassic|150|Carnivore|10.0|2300|34|North America|1877|Allosaurus|160|8|A major predator of the Morrison ecosystem.
Parasaurolophus|Parasaurolophus walkeri|Late Cretaceous|76|Herbivore|9.5|2500|40|North America|1922|Parasaurolophus|210|4|Its crest may have produced resonant calls.
Iguanodon|Iguanodon bernissartensis|Early Cretaceous|125|Herbivore|10.0|3500|24|Europe|1825|Iguanodon|170|4|Known for large thumb spikes.
Carnotaurus|Carnotaurus sastrei|Late Cretaceous|72|Carnivore|7.5|1500|48|South America|1985|Carnotaurus|260|8|Its reduced forelimbs were even shorter than T. rex.
Pachycephalosaurus|Pachycephalosaurus wyomingensis|Late Cretaceous|70|Herbivore|4.5|450|24|North America|1931|Pachycephalosaurus|180|3|Famous for its thick dome-shaped skull.
Giganotosaurus|Giganotosaurus carolinii|Late Cretaceous|98|Carnivore|13.0|8000|31|South America|1995|Giganotosaurus|100|10|One of the largest known theropods.
Archaeopteryx|Archaeopteryx lithographica|Late Jurassic|150|Carnivore|0.5|1|20|Germany|1861|Archaeopteryx|650|1|Shows a key transition between dinosaurs and birds.
Deinonychus|Deinonychus antirrhopus|Early Cretaceous|115|Carnivore|3.4|73|38|North America|1969|Deinonychus|280|7|Its sickle claw changed ideas about dinosaur behavior.
Apatosaurus|Apatosaurus louisae|Late Jurassic|152|Herbivore|22.0|23000|20|North America|1877|Apatosaurus|70|4|A massive long-necked herbivore.
Dilophosaurus|Dilophosaurus wetherilli|Early Jurassic|193|Carnivore|7.0|400|30|North America|1954|Dilophosaurus|240|6|Known for paired crests on its skull.
Microraptor|Microraptor gui|Early Cretaceous|120|Carnivore|0.8|1|25|China|2000|Microraptor|620|2|Had flight feathers on both arms and legs.
Therizinosaurus|Therizinosaurus cheloniformis|Late Cretaceous|70|Herbivore|10.0|5000|12|Mongolia|1954|Therizinosaurus|130|5|Had extremely long claws likely used for foraging.
